latitude,longitude,price,name,summary
37.7513531,-122.4176588,$189.00 ,2B Central Mission District,"San Francisco's hip neighborhood, the Mission. 2 bedroom in a historic building on a quiet street just blocks away from the City's best coffee shops, bars, restaurants, bakeries & taquerias."
37.75199246,-122.4042105,$130.00 ,Sunny garden room on 24th,"Comfortable, modern private room with comfy queen bed in newly renovated Mission single family home. Sleep well - no street noise, blackout curtains. Easy access to public transportation and highway. $12/day garage parking just 1 block away. "
37.76142933,-122.4193501,$90.00 ,"Live/Work Tech Space #1 - Mission, SF","My place is in the heart of Mission, close to Dolores Park and the BART. You‰Ûªll love my place because of the location, the neighborhood, and the people. My place is good for couples, solo adventurers, and business travelers."
37.76652079,-122.4246601,$95.00 ,Mission: Small Room in a Great Flat,"Private room available in the heart of the Mission District, one of San Francisco's most lively neighborhoods‰ÛÒ it's very safe and very walkable. Great cuisine, coffee, bars, shops, parks, and more are all within quick walking distance. You'll have access to a fridge, cups/mugs, water, and water bottles to take with you while you're exploring the city."
37.75995514,-122.4241064,$325.00 ,Charming house in the Mission,"Single family house in the heart of the Mission. 2 large bedrooms with new queen beds, a sunroom with a pullout double bed and a small patio.  Large bathroom with a tub, shower, and separate toilet. Modern kitchen with a sunny large living and dining area complete the home. Comfortably sleep 6 and enjoy everything within walking distance: Dolores Park, Mission street Pool and Playground, Valencia street restaurants and shops, Bi-rite market and creamery, and BART"
37.75870167,-122.42124,$119.00 ,"Private Room, Large House Mission",Our 10 room Edwardian house is in the middle of the Mission District/Valencia corridor.   This private room has a Queen sized bed and a twin bed
37.76147949,-122.4157135,$134.00 ,Cozy & Central Mission Apt,"On the same block as one of San Francisco's top breweries - Southern Pacific Brewing. A 10 minute walk to Dolores Park. 10-15 minute walk to Bart (our train). Private room in a 3 bedroom apt, shared bathroom. Cool skyline view from the porch. Laundromat next door. No smoking please."
37.75939066,-122.4211674,$490.00 ,Spacious Sun-Drenched Beauty Near Dolores Park,"Come stay in our spacious, top-floor, sun-drenched apartment in the best part of the Mission. This is a great deal for a high-end condo. Enjoy our bright open-plan living area, 'Temple' room for relaxing or meditating, luxurious master bath, gourmet kitchen, balconies and wind-protected roof deck with spectacular views. We're literally yards away from top-rated food stops and Dolores Park. And just 10 mins walk to BART & muni stops for easy commuting. Welcome to our special corner of SF!"
37.74961782,-122.4181314,$140.00 ,Cozy Bedroom in Mission District,"Come enjoy all that the Mission District has to offer! Food, art and culture, great weather and more food! Space includes closet and private bathroom."
37.75958581,-122.4100011,$185.00 ,1 BR Cottage Close to Mission Awesomeness,"Welcome to our one bedroom cottage in the Mission in San Francisco! We've made the place comfy and hip, with modern furniture and a cook's kitchen, and you can also explore all sorts of great places within a few blocks, like Heath Ceramics, Universal Cafe, Salumeria, Trick Dog, Tartine Manufactory, Flour and Water, and many other restaurants and cafes. It's a short walk to Valencia Street and Delores Park, and a quick Uber ride or bus downtown."
37.75560551,-122.4067193,$550.00 ,"Bright, spacious Mission flat","Flat is open and spacious and has a lot of natural light, along with excellent ventilation and breeze.  There are nice hardwood floors, large bay windows, beautiful Victorian details/molding and high 10' ceilings."
37.7505213,-122.4073568,$113.00 ,San Francisco Mission Hideout,"Charming, separate studio in colorful Mission district. Private entrance, mini kitchenette, en-suite bathroom and access to sunny, quiet garden.  Mexican food, sushi, bookstores,and more surrounded by Mission murals. Easy access to public transport."
37.76832743,-122.4250571,$115.00 ,Top Floor Mission Dolores Private Bedroom,"Sunny top floor private bedroom in a spacious Mission Dolores flat! The bedroom faces 14th St. and includes its own thermostat/heating, Amazon Echo, desk, smarthome Philips Hue lighting, access to the shared back yard, 1 block to Dolores Whole Foods, 2 blocks to Church St Muni, and 4 blocks to 16th St BART stations. Access to the full kitchen & laundry amenities."
37.76888719,-122.4240599,$155.00 ,Bright & Beautiful Apartment,"Bright and Comfortable Studio Apartment in Mission/Duboce Triangle. Short walking distance to bus, muni and bart. Central location amid Castro, Mission, SOMA, Civic Center and more! All new furniture with hardwood floors. Extremely quiet, top floor."
37.75134306,-122.4226501,$45.00 ,Cozy and spacious room in a great location,"Enjoy the heart of the Mission with great access to public transit (a 5 minute walk to 24th Street Bart). My place is close to lots of awesome bars, cafes, and restaurants, and only a 15 minute walk to Dolores Park. Overall, it's hard to beat this location.   My apartment is cozy with a comfy bed and friendly + courteous housemates. Ideal for solo adventurers and business travelers."
37.75506955,-122.4168171,$169.00 ,"GorgeousVictorian Rm, TrendyMission","Spacious bedroom in pre-1900 Victorian with 11-ft ceilings, new kitchen, dining room & bedroom, modern bathroom (great water pressure), antique furniture, stained glass, 2 fireplaces, 2 blocks from BART train & walking distance to all Mission District."
37.7622065,-122.4198954,$186.00 ,Mission Penthouse Master Suite,"My penthouse, a comfortable three bedroom two bath, has windows all around with panoramic views of The City! Centrally located Mission flat, just two blocks from Dolores Park. Private roof garden, 2 blocks to BART. Meals included. 18 & Mission."
37.753852,-122.4111577,$77.00 ,Fabulous Mission Apt. Very Private,"Private room, with it's own private bathroom and entrance.  Located in the heart of the vibrant Mission Neighborhood.  6 blocks from Bart, close to many bus lines.  Very cool walk-able neighborhood.  Close to many great restaurants and bars."
37.76251893,-122.4242846,$250.00 ,"Huge Modern 2BR Apartment, Close to Everything","This is an exceptionally large, modern SF apartment. The master bedroom room comes with a huge ensuite bathroom complete with dual shower heads and jacuzzi tub. The second bedroom is also roomy with it own bathroom. You will love the location that is minutes away from anywhere in the city.  All the Mission spots at your doorstep. Valencia, Castro, Dolores park within a couple of blocks. Minutes from tech buses and public transportation to downtown (both BART and Muni)!"
37.76531007,-122.4246905,$235.00 ,Cute spot in the Mission,"This is a large studio in the middle of the Mission district. I've got a queen bed and a couch, so up to three people can comfortably sleep here. Plenty of coffee, restaurants, lounges, and bars in the area! Also, BART is 3 blocks south."
37.76362666,-122.4253853,$80.00 ,1BR Private Room in Spacious Victorian Home!,"My place is close to Bar Tartine, Locanda, Dolores Park, Birite Creamery. You‰Ûªll love my place because of the neighborhood. Wake up for breakfast at Tartine, wander around and grab a coffee at one of the many fantastic little coffee shops around town, then stop by Dolores Park like a SF native!  When you're done enjoying the sun in Dolores, go shopping on Valencia Street or checkout another neighborhood in SF! 1BR in 4 BR house. My place is good for couples and solo adventurers."
37.7681406,-122.4253676,$300.00 ,"2b/2b modern condo, super location","Please read through the listing and all info you might need, like check-in time, public transportation, parking, etc., has been disclosed here . Please also read my other listing for private room of this flat, which has received 170+ five star reviews in all categories. *_öÔè¨__ü___à,ŒÏ¬è´ÀŒ¨ä,ŒÎÑ__Â,_ü__µá_Ä_çÓÙ_«ÈèÀà‹Ûâ_Â¢èÀ___Ê_ù´_Ñ¨èø¢*"
37.75866765,-122.42388,$200.00 ,Spacious Mission 1-BR,"My place is less than one block from Mission Dolores Park, the beating heart of San Francisco. You‰Ûªll love my place because of the location, easy walking distance restaurants, the neighborhood, and my deck with a grill and panoramic view of the city skyline. My place is good for couples, solo adventurers, business travelers, and families."
37.76148205,-122.4092539,$200.00 ,Beautiful one bedroom Retreat - Mission District,"Tons of natural light, gorgeous hardwood floors on upper level an grey slate floors located in the lower bedroom. Furnishings are high end with great attention to detail. Kitchenette is perfect for lighter meals, although you'll be tempted to take advantage of the countless cafes, restaurants and shops that are nearby. Neighborhood has the best weather in the entire city, and close to public transit. *Please note bedroom ceiling height is 72 inches tall, so may not be suitable for all travelers."
37.75399609,-122.4177063,$125.00 ,Private Studio in Mission,"Cozy, retro, ground level studio with private entrance located two blocks from BART and close to dozens of restaurants, cafes and shops."
37.75328433,-122.4118579,$40.00 ,Private room in beautiful Mission apartment,"I am off to Africa for a month of travel from Feb 5th- March 4th. Looking to sublet my room in my gem of a 2 story apartment in Mission with 4 awesome roommates! Fully furnished, price includes all utilities and cleaning fee. Message me if interested."
37.75028261,-122.4156194,$500.00 ,Superbowl Apt. near Frway and Bart!,"Located in the Mission District of SF, this 3 bedroom Apt. is very homey and located SUPER CLOSE to the freeway and also Bart. Full Kitchen and full bath, it will be a home away from home. With beds for 6 we also have a couch and room for an areobed."
37.75813182,-122.4141177,$79.00 ,Twin Beds in Prime Central Location,Private room with 2 twin beds (bunk bed) in 3 bedroom 1 bath ground level flat. Prime central SF location in the Mission district allows for easy walking to amazing food and drink and a quick ride to the major tourist spots. The open kitchen and living room provide a great space to relax after a fun day in the city and meet some new friends.
37.75754497,-122.4201252,$115.00 ,Mission Studio in the Perfect Location,"You'll have your own studio close to Ritual Coffee Roasters, the awesome rooftop bar/restaurant El Techo de Lolinda, Foreign Cinema, convenient to publish transportation, and close to Dolores Park.. You'll love my place because of the neighborhood and the ambiance, it's the perfect location to experience the best parts of San Francisco.. My place is good for couples, solo adventurers, and business travelers."
37.76249605,-122.422603,$575.00 ,SF Mission Dolores Home,"Large newly remodeled Edwardian home on a quiet street in sunny Mission district. Steps from Valencia St's trendy restaurants, galleries, & fun shops.  Just a couple blocks to Dolores Park, public transit (BART & Muni) & gourmet groceries."
37.7580424,-122.4211011,$65.00 ,Private Room in Beautiful Apartment,"Have just moved into this beautiful three bedroom unit in the heart of the Mission. My room mates cannot move in until January 15 so we are looking to fill the vacancy. Close to all of the action in the Mission in a safe, warm, modern and light-filled apartment."
37.75788359,-122.4075305,"$2,000.00 ",Mission House w Roof Deck / Yard,Brand new home with huge kitchen / living room / common area. Grill / backyard / roof deck / pro cookware / driveway parking
37.75456441,-122.4125264,$51.00 ,Sweet Mission Room,"Make this warm, fully furnished space yours 11.15-11.30. Perfect if visiting or need a quiet place to work/study, inbtwn SF housing. The location is so alive, sunny and fun - happy to share tips and loan you my bike!  The house is shared w 3 female roomies, professionals in 30s, varying schedules, and has a restore/relax vibe more than social hub though the occasional guest happens. Kitchen is fully equipped & dishwasher.  Monthly cleaners. No pets or smoking. Sorry lovers, no couples either."
37.75239754,-122.4244804,$159.00 ,Tiny Urban Cottage,"SF License #STR-(PHONE NUMBER HIDDEN). Our well-appointed studio guest house sits nestled in a serene and private garden between The Mission and Noe Valley. Private entrance, kitchen, sitting area, desk, TV, wireless, and sunny outdoor seating."
37.76911001,-122.4119345,$120.00 ,Sunlit and modern apartment in SOMA,Furnished 1 bedroom in a 2 bedroom apt. The bedroom has its own private bathroom and a very large closet. The room offers spectacular views of San Francisco. The building has a gym &  bbq area.
37.76862344,-122.4244366,$100.00 ,Comfortable Room in Artistic Condo,"Comfortable room, with shared bathroom in eclectic apartment. Walking distance from the Artistic Hub of the City (SF Symphony, Ballet, Opera, SF Jazz). Hip restaurants and shopping in the Mission and Hayes Valley. 15 minute walk to the city's center."
37.76066203,-122.4208268,$50.00 ,Bright studio in the HEART OF THE MISSION,"My place is close to Mission Dolores Park, beauty bar, elbow room, and tons of other great night life, authentic Mexican food, and the new mission theater. You‰Ûªll love my place because of the high ceilings, the coziness, and the light. My place is good for couples and solo adventurers."
37.75826018,-122.4083304,$80.00 ,WEEKEND ROOM IN THE MISSION ,"Queen bed in a room of a 2bdrm. Roommate is 28 and cool and super nice, could def recommend you some places in the neighborhood. Adorable cat, Louie. "
37.75596136,-122.4095302,$75.00 ,"Clean, cozy, and spacious apartment",
37.75942336,-122.4075424,$155.00 ,Private suite - in vibrant Mission,"A quiet first floor suite w/private bath,(525 sq ft) in the sunny Mission. Near galleries, public transportation and freeways. Great restaurants, clubs, cutting edge shopping, urban life at its best."
37.75993231,-122.4213667,$250.00 ,Heart of the Mission New Cozy Charmer,"Summery, bright, and beautiful 2 bedroom classic San Francisco edwardian apartment."
37.77021195,-122.4228986,$55.00 ,Quaint bedroom in the heart of SF,"This quaint and classic San-Francisco-Victorian apartment is ideally located in the heart of the city. Guests will have a private room with a double bed, empty closet + dresser, and their own bathroom just down the hall. You will be welcomed by the two other residents of the apartment, who have lived in the area for many years and would be happy to recommend some adventures. The apartment is located near all of SF's public transit systems and is walking-distance from many trendy neighborhoods."
37.75065685,-122.4234918,$450.00 ,Big Victorian home in ‰ª´ of Mission,"Spacious single-family, detached Victorian home In The Mission District.  A huge back-yard, patio and porch  On a quiet street,  off Valencia street in the heart of the Mission, 2 blocks from the Bart, 10 minutes to downtown.  Great for Families!"
37.74944922,-122.4095556,$250.00 ,Your Bright & Spacious Mission home,"Enjoy the whole space of our conveniently located, extra comfortable 3 bed/2 bath 1,600 sqft home with PARKING!  Small pets friendly! Fully renovated in 2014, comfortable and attractive living and sleeping spaces - great for long stays!"
37.75375109,-122.4252011,$150.00 ,Comfy & quiet. Awesome location,"Comfortable (1100 sqft), with direct access to outside patio. Ideally located in this very cute and quiet street, this condo is within short walking distance to BART (7 mins), Noe Valley 24th street, Dolores park and the vibrant Mission District."
37.75641542,-122.4128513,$300.00 ,Victorian in the heart of Mission,"Our place is a beautiful old Victorian house - yes, a whole house to yourself! - with modern touches. 2 bedrooms, 2 baths, 2 living rooms, large kitchen, hardwood floors, beautiful details, and very high ceilings, even by San Francisco standards."
37.76772249,-122.422152,$170.00 ,Spacious & sunny 1br apartment,"Big sunny 1 bedroom/1 bathroom apartment. Modern, bright. Everything is newly renovated, modern, and super clean. Full size bed, full bathroom with shower."
37.75151485,-122.4245018,$190.00 ,Noe Valley/Mission Studio,"A cozy, first-floor studio located between the Mission and Noe Valley. Great neighborhood location close to wonderful restaurants, bars, shops, Muni and BART. "
37.75440053,-122.412507,$230.00 ,Heart of the Mission!,"Enjoy my beautiful top-story, sunny condo in an Edwardian-style building right in the middle of our great city!  The Mission District is the warmest in San Francisco and offers easy, flat walking access as well as many public transit options!"
37.75309747,-122.4199679,$115.00 ,Room in Valencia Flat,"Beautiful room in 2-bed Victorian flat just off Valencia. Modern convenience set among old-world charm: high ceilings w crown molding, alongside a flatscreen tv and a fully equipped kitchen, along with a beautiful back yard and laundry. We are walking distance from all the fabulous treasures the Mission, Castro, Bernal Heights, and Potrero Hill have to offer!"
37.75780405,-122.4214434,$95.00 ,Sunny & Modern Mission Gem,"Spacious and sunny room available in 2 bedroom condo, shared bathroom, owner occupied.  Perfect location right off Valencia St, less than 2 blocks from Dolores Park. 35 lb sweet labradoodle lives in the condo too."
37.74970235,-122.4066375,$90.00 ,A Sunshine Lit Double Suite,"Enjoy the privacy of this jr. suite room in a Mission/24 St. home. SUNSHINE, Lrg room, A/C, Cable TV, full access to shared kitchen & shared bathroom, plus wi-fi are just some of the amenities.  Sleeps two comfortably. Parking available upon request."
37.76645745,-122.4253543,$95.00 ,Beautiful Room w/ Bay Window in the Mission!,"We love our exciting neighborhood, and you will too! The Mission District is one of San Francisco's most lively neighborhoods‰ÛÒ it's very safe and very walkable. Great cuisine, coffee, bars, shops, parks, and more are all within quick walking distance. This room is the brightest room in the house, and has a ton of vintage charm. You'll have access to a fridge, cups/mugs, water, and water bottles to take with you while you're exploring the city."
37.75089762,-122.4148136,$350.00 ,Nice Mission Apartment Walk to BART,Sleep in a cozy queen bed on a quiet street that's close to the action. A block from the original Philz Coffee in the heart of the mission. 7 Min walk from the Mission/24th BART. Private apartment with all the amenities to make your stay comfortable.
37.75110865,-122.4187323,$130.00 ,Cozy studio in the Mission,"Situated in the heart of San Francisco, this is a quaint, cozy, contemporary and spacious (500sf), carpeted studio one block off Mission and 24th BART station in the mission district. The studio is on the third floor of a 1904 Edwardian building. Apologize for low-quality photos. Working on a getting a professional photoshoot. In the mean time, reviews should help. Sorry!"
37.75526258,-122.4249664,"$4,000.00 ",Mission Dolores Noe Valley Studio,"Our studio apartment has been a great location and space for individuals here on business or vacation.  It seems to be best suited for individuals as the the bed is a full size and can be tight for more than one person. We are close to public transportation (J Church across the street) , restaurants, stores and shops. The studio has a shower stall no tub. There is a small table where you can work or eat and a bar with stools that allows you to do the same."
37.75691789,-122.4111644,$349.00 ,"Gorgeous Mission Loft, Great Light!","Huge sunny loft in the Mission District. New construction, 1100 sq ft, and 18 ft ceilings. Walkable to excellent cafes, restaurants, a climbing gym, yet still has a real neighborhood feel."
37.76096715,-122.4231305,$115.00 ,Private Mission Room Near Valencia,"Private bedroom in the heart of the Mission.  The apartment is tucked away a few hundred feet from Valencia Street where you can find great food, music, and drinks.  Enjoy our sunny back deck, amazing location, and great advice on enjoying SF."
37.75849371,-122.4157999,$170.00 ,Sunny two-bedroom in vibrant Mission District,"Sunny, bright apartment with high ceilings in the heart of San Francisco's vibrant Mission District. Quiet street. Master bedroom w/ Queen and back bedroom with open space for yoga, relaxing, spreading out. Private deck, mod kitchen, w/d, wifi, dish washer."
37.74825404,-122.4176816,$115.00 ,Modern Mission Apt. w/ Private Bath,"1 BDRM with private bathroom, closet, and a great view of Bernal Hill. This gem is located in a modern, extra clean 2 BDRM with laundry. We are 1 block away from the restaurants and night life on Valencia and Mission streets, and two blocks from 24th Street Bart."
37.75267808,-122.4075329,$133.00 ,2-Room Suite in Vibrant Mission,"Your private 2-room suite is an oasis in the vibrant, creative heart of SF just steps from the 24th St. ""Cultural Corridor."" It's ~400sqft /40m2, with queen bed, desk, and spacious sitting room with a cozy fireplace for those chilly SF evenings. Perfect for your work or pleasure trip!"
37.76455721,-122.4239801,$232.00 ,Large 1bd condo in Mission Dolores!,Top floor condo just a block away from busy Valencia Street and walking distance to Dolores Park.
37.751588,-122.4187695,$100.00 ,Cozy Mission apt,"Our place is pretty, cozy and comfortably arranged, fully equipped. It's one space divided by partition to a 'bedroom' and a living room and therefore fits either a couple or a single person. The kitchen and bathroom are spacious. Lots of natural light. Laundry in the building. The location is very central. You can fully enjoy the Mission vibes, the best burrito and best pie in the city (for reals) are a block away, and so is the 24th st. Bart station, Dolores park is near, etc."
37.75618418,-122.421447,$200.00 ,cozy apartment in the Mission,"Beautifully furnished apartment with a bedroom, full bath, living room and small kitchen.  The apartment is located in the heart of the Mission district steps away from San Francisco's best restaurants and night life."
37.7569887,-122.4085638,$450.00 ,Sunny condo - Mission District,"2 bedroom, top floor condo, with huge deck, 2-car parking, easy highway and transit access, and walking distance to hundreds of bars and restaurants in SF's hippest and most interesting neighborhood"
37.76313587,-122.4079654,$80.00 ,Private BDRM/BA in trendy SF Apt w/360 views!,"Private bedroom and full bathroom in apartment that is centrally located near restaurants and bars, yet still quiet! Close to public transportation, with EASY, FREE on-street parking (Or a secured garage parking spot for $100). The apartment is in a brand new, secure building and has a beautiful, eclectic ambiance, a balcony, SF views and gets a lot of light. Experience amazing 360 views of the city on the 4,000 sq ft rooftop with grills, hammocks and lounge chairs. Ideal for 2 people, but enough floor room for a small air mattress."
37.74907405,-122.4124016,$99.00 ,"large, comfy br in fun neighborhood","large, comfortable bedroom in the heart of the mission district, the best neighborhood in san francisco! walk to awesome restaurants or bart downtown. with a park right in front and a beautiful sunny garden in back. room is for one person only."
37.75083547,-122.4234114,$145.00 ,Private Garden Room in Victorian Home!,"Beautiful private guest room on the ground floor of 130 year old Noe Valley Victorian located between the bustling Mission District, hip Valencia Corridor and quaint Noe Valley. Modern convenience set among old-world charm: private entrance to come and go as you please, private bathroom, efficiency kitchenette, desk/workspace & wifi, alongside a peaceful backyard and shared laundry. We are walking distance to all the fabulous treasures our neighborhood has to offer and to public transit."
37.75857822,-122.4222351,$215.00 ,Sunny Modern Mission Dolores Condo,"Spacious 1200+ square feet top floor Edwardian condo with modern updates. Located in the heart of the Mission right off Valencia Street, and less than 2 blocks from Dolores Park. High quality bed, well maintained home in the most popular SF location"
37.75913346,-122.4196755,$185.00 ,"Private, Quiet Apartment in Heart of the Mission","Whether you're an avid cook, an aspiring musician, a couch potato or business traveler, you'll enjoy the comfort of home at our place in the heart of the Mission District! If you venture out (and we hope you do!) you'll experience some of the best food, drinks, shops and sights San Francisco has to offer - all just blocks from our front door. Walking distance to BART, our place is a quick ride from SFO or to downtown (including Union Square and the Ferry Building)."
37.75746793,-122.4125947,$350.00 ,Room in a lovely flat,Tidy room in a sunny Mission neighborhood.
37.76171887,-122.4234831,$175.00 ,Queen bedroom in gorgeous bright Dolores luxury,"Spacious, top-floor, sun-drenched apartment in the Mission - we really believe it's the best block in SF. This is a high-end place full of unique features. Enjoy our bright open-plan living area, gourmet kitchen, balconies and wind-protected roof deck with spectacular views. We're literally yards away from 4 cult-following food joints and Dolores Park. And just 10 mins walk to BART & muni stops for easy transit. Welcome to our special corner of SF!"
37.76867194,-122.4178576,$165.00 ,Comfy Classic Victorian - 2 BR,"This two bedroom, one bathroom apartment is located off Market Street in Southeast San Francisco. This apartment is within walking distance of several local coffee shops and other eateries!"
37.76379548,-122.425448,$149.00 ,Spacious 1 BDR apt by Dolores Park,"Spacious apartment with queen sized bed (and amazing mattress!), separate bathroom and toilet, large living room with comfy couch & TV, large kitchen with garden in the back, super fast WiFi and street parking. Right by Mission, Castro, BART and Muni."
37.77017333,-122.4215716,$240.00 ,Edwardian Condo Centrally Located,"This is a recently renovated 1 bedroom condominium located in the ""Hub"" of San Francisco, 1/2 block from the vibrant Valencia corridor, and walking distance to Hayes Valley, the Castro, and Civic Center.  2 subway stops to downtown."
37.76025251,-122.4166307,$206.00 ,Clean and Modern Mission Cottage,"This modern detached studio is located in the busy and trendy Mission District. Public transportation, bars and restaurants are steps away in this fascinating, progressive and lively area."
37.75104087,-122.4186658,$575.00 ,Beautiful Mission Victorian Home,"Beautiful 2 story classic Mission Victorian ""Painted Lady""home with fireplace, hot tub, two full baths, and one block from 24th Street BART which will take you throughout the city in a flash. The house is centrally located and an easy walk to Noe Valley, the Castro, and Bernal Heights neighborhoods."
37.76764528,-122.4239505,$120.00 ,Private room in top Edwardian Flat,"Private Room in a top unit of an Edwardian Flat in San Francisco's mission  Private bathroom, shared shower Dolores district.   Clean, Sunny, Safe Close to public transportation, bars, restaurants Walking distance to Mission, Hayes valley, Castro"
37.75122694,-122.4183758,$74.00 ,Heart of Mission District - Queen,1 Queen bed in private bdr in charming apt conveniently located in the heart of the Mission District. - Large living room/dining room with fireplace - TV room - Large Kitchen - Half bathroom with shower - Other half is a restroom
37.76667538,-122.4170325,$105.00 ,Luxury Streetside Apt Near Public Transportation,"Our place is in the heart of the Mission, which is San Francisco‰Ûªs oldest neighborhood and has plenty of new restaurants and galleries.     The streetside room has a queen-sized bed (memory foam), a collapsible desk w/ chair, closet, and small dresser. There are 3 large windows that let in plenty of sunshine, but curtains and shades to block out the sun.  Since the room is facing the street, you will hear traffic passing by- earplugs and soothing noise machine provided for light sleepers."
37.76054446,-122.421676,$59.00 ,Small Room steps from Valencia,"       This sweet, quiet space is just half a block from Valencia street, and two blocks from Bart. You'll be on a sleepy, residential street, with the benefit of being near a major transportation hub, and some of the best restaurants and nightlife."
37.75110161,-122.4241432,$150.00 ,Modern luxury; Noe Valley pvt flat,
37.76045876,-122.4190438,$149.00 ,Charming Private Studio in Mission,"Enjoy a charming room with private entrance at the ground floor of our house at the heart of the Mission! Located in a quiet street, room is in ground floor, opens on backyard and entrance is through garage. Walk to Valencia street and Dolores Park!"
37.75311615,-122.4086315,$100.00 ,Large room in Slick Victorian ,The flat is located in the sizzling hot Mission district.  The night life buzzes and some of the best priced restaurants are right outside the front door.  Public transportation is tops and the historical mission district rocks.
37.75731078,-122.4095373,$75.00 ,BEDROOM-f (July 31--->),"Bedroom (front), 2 windows‰ÛÓ>light well and bathroom-->lightwell.  Galley kitchen w/island prep and dining area‰Û_modern appliances.  Living room, dining room, and shared bathroom located between the rear and the middle bedrooms.  W/D on rear porch.   Neighborhood, a mix of incoming‰ÛÓinterns, work-study, contractually hired professionals, and work visa.  But some residents have been here since as early as the 1950s.  For this reason the immediate neighborhood seems a bit small-townish."
37.75174324,-122.4162526,$299.00 ,Mission District Artsy 1 BDRM,"Fully Furnished 1 Bdrm 1 Bath Apartment in the heart of San Francisco's trendy, artsy Mission District. Some amenities include: Wireless Internet Flat Screen TV + DVD player Cable TV + HBO Back Yard Large Claw Foot Soaking Tub Queen Size Bed"
37.76777714,-122.4243382,$68.00 ,Mission/Castro one-bedroom suite,I've lived in this flat for almost 20 years! I've always loved the architecture and details of this unique and charming home. This neighborhood is surrounded by culturally rich Mission streets and an always lively Market Street.
37.76121341,-122.4086907,$99.00 ,Bright Basement Apartment UNFURNISHED,"PLEASE NOTE: THIS IS AN UNFURNISHED APARTMENT.  There is a kitchen with working Stove and Fridge, but it completely unsupplied. I am providing an air mattress ONLY.   This apartment is in a great location, within a mile of both the 16th/Mission and 24th/Mission Bart Stops.  Walk Score ((URL HIDDEN) give it their highest rating, defining it as a ""Walker's Paradise"" with ""Excellent Transit"" and ""Very Bikeable"". There is street parking a couple of blocks away."
